season,league,date,team1,team2,prob1,prob1_outcome,probtie,probtie_outcome,prob2,prob2_outcome
2018,FIFA World Cup,2018-06-28,Panama,Tunisia,0.308560908460637,0,0.280462941216854,0,0.410976150322509,1
2018,FIFA World Cup,2018-06-28,England,Belgium,0.371375120942539,0,0.269069352140953,0,0.359555526916508,1
2018,FIFA World Cup,2018-06-30,France,Argentina,0.545032586143057,1,0,0,0.454967413856943,0
2018,FIFA World Cup,2018-06-30,Uruguay,Portugal,0.449219844567843,1,0,0,0.550780155432157,0
2018,FIFA World Cup,2018-07-01,Spain,Russia,0.782498227968071,0,0,0,0.217501772031929,1
2018,FIFA World Cup,2018-07-01,Croatia,Denmark,0.632564777698275,1,0,0,0.367435222301725,0
2018,FIFA World Cup,2018-07-02,Brazil,Mexico,0.821923343246222,1,0,0,0.178076656753778,0
2018,FIFA World Cup,2018-07-02,Belgium,Japan,0.755261565467346,1,0,0,0.244738434532654,0
2018,FIFA World Cup,2018-07-03,Sweden,Switzerland,0.484143913864827,1,0,0,0.515856086135173,0
2018,FIFA World Cup,2018-07-03,Colombia,England,0.396903834505549,0,0,0,0.603096165494451,1
2018,FIFA World Cup,2018-07-06,Uruguay,France,0.384729640337961,0,0,0,0.615270359662039,1
2018,FIFA World Cup,2018-07-06,Brazil,Belgium,0.641864093888683,0,0,0,0.358135906111317,1
2018,FIFA World Cup,2018-07-07,Sweden,England,0.38425787082039,0,0,0,0.61574212917961,1
2018,FIFA World Cup,2018-07-07,Russia,Croatia,0.38764797807606,0,0,0,0.61235202192394,1
2018,FIFA World Cup,2018-07-10,France,Belgium,0.521930153765091,1,0,0,0.478069846234909,0
2018,FIFA World Cup,2018-07-11,Croatia,England,0.432084371779559,1,0,0,0.567915628220441,0
2018,FIFA World Cup,2018-07-14,Belgium,England,0.509896283213981,1,0,0,0.490103716786019,0
2018,FIFA World Cup,2018-07-15,France,Croatia,0.593441878466491,1,0,0,0.406558121533509,0
2014,FIFA World Cup,2014-06-26,Algeria,Russia,0.331657680283503,0,0.301482799372195,1,0.366859520344302,0
2014,FIFA World Cup,2014-06-26,South Korea,Belgium,0.111857562436679,0,0.213542769963811,0,0.67459966759951,1
2014,FIFA World Cup,2014-06-26,Portugal,Ghana,0.363054008349682,1,0.292057212509854,0,0.344888779140464,0
2014,FIFA World Cup,2014-06-26,USA,Germany,0.147937981204396,0,0.217797143500197,0,0.634264875295407,1
2014,FIFA World Cup,2014-06-25,Ecuador,France,0.192297668032781,0,0.250917725648618,1,0.556784606318601,0
