season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2021,2022-02-13,Bengals,Rams,0.31506042899461806,0,0.6849395710053819,1
2021,2022-01-30,Rams,49ers,0.6360927506267418,1,0.36390724937325825,0
2021,2022-01-30,Chiefs,Bengals,0.810417382104968,0,0.18958261789503195,1
2021,2022-01-23,Chiefs,Bills,0.6527196431565626,1,0.3472803568434374,0
2021,2022-01-23,Buccaneers,Rams,0.6814396404565678,0,0.3185603595434322,1
2021,2022-01-22,Packers,49ers,0.7516684646915496,0,0.24833153530845042,1
2021,2022-01-22,Titans,Bengals,0.6571618143105673,0,0.3428381856894327,1
2021,2022-01-17,Rams,Cardinals,0.7025351551805322,1,0.2974648448194678,0
2021,2022-01-16,Chiefs,Steelers,0.8584728261886228,1,0.14152717381137725,0
2021,2022-01-16,Cowboys,49ers,0.6903158039043293,0,0.30968419609567066,1
2021,2022-01-16,Buccaneers,Eagles,0.8052191924276678,1,0.19478080757233218,0
2021,2022-01-15,Bills,Patriots,0.700099490756912,1,0.299900509243088,0
2021,2022-01-15,Bengals,Raiders,0.7406179213650145,1,0.2593820786349855,0
2021,2022-01-09,Raiders,Chargers,0.48949724336377415,1,0.5105027566362259,0
2021,2022-01-09,Falcons,Saints,0.4055895054186608,0,0.5944104945813392,1
2021,2022-01-09,Bills,Jets,0.9066219608227992,1,0.09337803917720078,0
2021,2022-01-09,Dolphins,Patriots,0.47969099508469754,1,0.5203090049153025,0
2021,2022-01-09,Buccaneers,Panthers,0.8899536528358828,1,0.11004634716411721,0
2021,2022-01-09,Cardinals,Seahawks,0.67407016134462,0,0.32592983865538006,1
2021,2022-01-09,Rams,49ers,0.6555964323632705,0,0.3444035676367295,1
2021,2022-01-09,Ravens,Steelers,0.4951939052546343,0,0.5048060947453656,1
2021,2022-01-09,Browns,Bengals,0.7246758951719147,1,0.27532410482808534,0
2021,2022-01-09,Lions,Packers,0.4284471252690445,1,0.5715528747309555,0
2021,2022-01-09,Texans,Titans,0.27017449743423044,0,0.7298255025657696,1
2021,2022-01-09,Jaguars,Colts,0.13138851489284406,1,0.8686114851071559,0
2021,2022-01-09,Vikings,Bears,0.6772627211213021,1,0.32273727887869785,0
2021,2022-01-09,Giants,Redskins,0.4276482564303633,0,0.5723517435696367,1
2021,2022-01-08,Eagles,Cowboys,0.48110848811355206,0,0.5188915118864479,1
2021,2022-01-08,Broncos,Chiefs,0.2583771296870086,0,0.7416228703129915,1
2021,2022-01-03,Steelers,Browns,0.5298974455099453,1,0.47010255449005467,0
2021,2022-01-02,Packers,Vikings,0.8879275308597455,1,0.11207246914025448,0
2021,2022-01-02,Cowboys,Cardinals,0.688491603042765,0,0.311508396957235,1
2021,2022-01-02,Saints,Panthers,0.7646620766436579,1,0.23533792335634207,0
2021,2022-01-02,Seahawks,Lions,0.8819061677382087,1,0.11809383226179127,0
2021,2022-01-02,Chargers,Broncos,0.6640688050567657,1,0.3359311949432343,0
2021,2022-01-02,49ers,Texans,0.7893391097784743,1,0.21066089022152568,0
2021,2022-01-02,Bills,Falcons,0.8422576348116895,1,0.15774236518831053,0
2021,2022-01-02,Bears,Giants,0.6075165172630181,1,0.39248348273698186,0
2021,2022-01-02,Bengals,Chiefs,0.37169365755024,1,0.62830634244976,0
2021,2022-01-02,Colts,Raiders,0.7972465864922281,0,0.20275341350777187,1
2021,2022-01-02,Patriots,Jaguars,0.9195399637075165,1,0.08046003629248355,0
2021,2022-01-02,Jets,Buccaneers,0.16550927642332297,0,0.834490723576677,1
2021,2022-01-02,Titans,Dolphins,0.5482879899752273,1,0.4517120100247727,0
2021,2022-01-02,Redskins,Eagles,0.44648362999746805,0,0.553516370002532,1
2021,2022-01-02,Ravens,Rams,0.3086226904291163,0,0.6913773095708837,1
2021,2021-12-27,Saints,Dolphins,0.5080243731293607,0,0.49197562687063934,1
2021,2021-12-26,Cowboys,Redskins,0.748647248544615,1,0.25135275145538505,0
2021,2021-12-26,Chiefs,Steelers,0.8206003255037082,1,0.1793996744962918,0
2021,2021-12-26,Raiders,Broncos,0.5283007116896262,1,0.4716992883103738,0
2021,2021-12-26,Seahawks,Bears,0.6758818459846399,0,0.32411815401536015,1
2021,2021-12-26,Falcons,Lions,0.829158691142293,1,0.17084130885770699,0
2021,2021-12-26,Panthers,Buccaneers,0.2958570773414468,0,0.7041429226585532,1
2021,2021-12-26,Bengals,Ravens,0.7206248380897912,1,0.27937516191020884,0
2021,2021-12-26,Texans,Chargers,0.24549256239532183,1,0.7545074376046782,0
2021,2021-12-26,Vikings,Rams,0.46054266099456165,0,0.5394573390054384,1
2021,2021-12-26,Patriots,Bills,0.6170373858244802,0,0.3829626141755198,1
2021,2021-12-26,Jets,Jaguars,0.6494865417449581,1,0.3505134582550419,0
2021,2021-12-26,Eagles,Giants,0.7858931477726729,1,0.21410685222732706,0
2021,2021-12-25,Cardinals,Colts,0.5055819594038544,0,0.4944180405961456,1
2021,2021-12-25,Packers,Browns,0.7788918063846648,1,0.22110819361533518,0
2021,2021-12-23,Titans,49ers,0.5285481291268144,1,0.47145187087318563,0
2021,2021-12-21,Eagles,Redskins,0.7390598634294574,1,0.2609401365705426,0
2021,2021-12-21,Rams,Seahawks,0.6978873718380982,1,0.30211262816190176,0
2021,2021-12-20,Bears,Vikings,0.40826443994443795,0,0.591735560055562,1
2021,2021-12-20,Browns,Raiders,0.7173358863543979,0,0.28266411364560207,1
2021,2021-12-19,Buccaneers,Saints,0.8207132664634768,0,0.17928673353652325,1
2021,2021-12-19,Ravens,Packers,0.23209122538896174,0,0.7679087746110382,1
2021,2021-12-19,Broncos,Bengals,0.5883813687802006,0,0.41161863121979936,1
2021,2021-12-19,49ers,Falcons,0.7615197186191085,1,0.2384802813808915,0
2021,2021-12-19,Bills,Panthers,0.7837041195255402,1,0.2162958804744598,0
2021,2021-12-19,Dolphins,Jets,0.8829526005838767,1,0.1170473994161233,0
2021,2021-12-19,Lions,Cardinals,0.16493018048187558,1,0.8350698195181244,0
2021,2021-12-19,Jaguars,Texans,0.5568976725905055,0,0.4431023274094945,1
2021,2021-12-19,Giants,Cowboys,0.3680429268355801,0,0.63195707316442,1
2021,2021-12-19,Steelers,Titans,0.44773937297793837,1,0.5522606270220616,0
2021,2021-12-18,Colts,Patriots,0.5006663397059404,1,0.49933366029405957,0
2021,2021-12-16,Chargers,Chiefs,0.4895959736198261,0,0.5104040263801739,1
2021,2021-12-13,Cardinals,Rams,0.688003308934145,0,0.31199669106585504,1
2021,2021-12-12,Packers,Bears,0.8782746716937311,1,0.12172532830626892,0
2021,2021-12-12,Bengals,49ers,0.5379639700341661,0,0.4620360299658339,1
2021,2021-12-12,Buccaneers,Bills,0.6716276839460723,1,0.3283723160539277,0
2021,2021-12-12,Broncos,Lions,0.8160341898120048,1,0.18396581018799518,0
2021,2021-12-12,Chargers,Giants,0.765487475664369,1,0.23451252433563097,0
2021,2021-12-12,Panthers,Falcons,0.7188493029550975,0,0.2811506970449025,1
2021,2021-12-12,Browns,Ravens,0.5147779456581332,1,0.4852220543418668,0
2021,2021-12-12,Texans,Seahawks,0.29466794275545716,0,0.7053320572445428,1
2021,2021-12-12,Chiefs,Raiders,0.8153298483230158,1,0.1846701516769842,0
2021,2021-12-12,Jets,Saints,0.38925040855496046,0,0.6107495914450396,1
2021,2021-12-12,Titans,Jaguars,0.8871551133668856,1,0.11284488663311443,0
2021,2021-12-12,Redskins,Cowboys,0.4818887921378906,0,0.5181112078621094,1
2021,2021-12-09,Vikings,Steelers,0.6299530976700162,1,0.37004690232998383,0
2021,2021-12-06,Bills,Patriots,0.5625564068290106,0,0.43744359317098935,1
2021,2021-12-05,Chiefs,Broncos,0.7787517709677754,1,0.22124822903222463,0
2021,2021-12-05,Steelers,Ravens,0.3902495498315301,1,0.6097504501684698,0
2021,2021-12-05,Seahawks,49ers,0.444110945945444,1,0.555889054054556,0
2021,2021-12-05,Raiders,Redskins,0.5545425888196545,0,0.44545741118034554,1
2021,2021-12-05,Rams,Jaguars,0.875273491817971,1,0.12472650818202902,0
2021,2021-12-05,Falcons,Buccaneers,0.247135926172413,0,0.752864073827587,1
