season,league,forecast_date,team,cup,cup_outcome,group_first,group_first_outcome,group_fourth,group_fourth_outcome,group_second,group_second_outcome,group_third_advance,group_third_advance_outcome,group_third_no_advance,group_third_no_advance_outcome,quarter,quarter_outcome,semi,semi_outcome,sixteen,sixteen_outcome,win,win_outcome
2015,FIFA Women's World Cup,2015-07-05,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Nigeria,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,USA,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015,FIFA Women's World Cup,2015-07-05,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Ivory Coast,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,South Korea,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2015,FIFA Women's World Cup,2015-07-05,Germany,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
