season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-06-26,Lightning,Avalanche,0.542663103621299,0,0.457336896378701,1
2022,2022-06-24,Avalanche,Lightning,0.6446650669588043,0,0.3553349330411957,1
2022,2022-06-22,Lightning,Avalanche,0.5404027226387891,0,0.4595972773612109,1
2022,2022-06-20,Lightning,Avalanche,0.5227726305748828,1,0.47722736942511723,0
2022,2022-06-18,Avalanche,Lightning,0.6377346057254566,1,0.3622653942745434,0
2022,2022-06-15,Avalanche,Lightning,0.6320677496945242,1,0.3679322503054758,0
2022,2022-06-11,Lightning,Rangers,0.6388370797415485,1,0.36116292025845154,0
2022,2022-06-09,Rangers,Lightning,0.5525164661686469,0,0.4474835338313531,1
2022,2022-06-07,Lightning,Rangers,0.6128194124237328,1,0.38718058757626717,0
2022,2022-06-06,Oilers,Avalanche,0.46938072201464104,0,0.5306192779853589,1
2022,2022-06-05,Lightning,Rangers,0.6065431067885424,1,0.3934568932114576,0
2022,2022-06-04,Oilers,Avalanche,0.4824804521171268,0,0.5175195478828731,1
2022,2022-06-03,Rangers,Lightning,0.5639222337134101,1,0.4360777662865899,0
2022,2022-06-02,Avalanche,Oilers,0.6779501697633283,1,0.32204983023667166,0
2022,2022-06-01,Rangers,Lightning,0.5474835335388794,1,0.45251646646112065,0
2022,2022-05-31,Avalanche,Oilers,0.6704741716386906,1,0.3295258283613094,0
2022,2022-05-30,Hurricanes,Rangers,0.6143719721502621,0,0.38562802784973793,1
2022,2022-05-28,Rangers,Hurricanes,0.548546403999932,1,0.45145359600006796,0
2022,2022-05-27,Blues,Avalanche,0.5123218032965635,0,0.4876781967034365,1
2022,2022-05-26,Flames,Oilers,0.572645947538906,0,0.42735405246109404,1
2022,2022-05-26,Hurricanes,Rangers,0.6188490581396093,1,0.38115094186039067,0
2022,2022-05-25,Avalanche,Blues,0.6726156908380257,0,0.32738430916197425,1
2022,2022-05-24,Oilers,Flames,0.5948207550061109,1,0.40517924499388913,0
2022,2022-05-24,Rangers,Hurricanes,0.543669694803049,1,0.45633030519695095,0
2022,2022-05-23,Blues,Avalanche,0.5171581728319349,0,0.4828418271680651,1
2022,2022-05-23,Lightning,Panthers,0.6164440495351733,1,0.3835559504648267,0
2022,2022-05-22,Oilers,Flames,0.5817219496821356,1,0.41827805031786436,0
2022,2022-05-22,Rangers,Hurricanes,0.5310362447597974,1,0.4689637552402026,0
2022,2022-05-22,Lightning,Panthers,0.6027932608028702,1,0.3972067391971298,0
2022,2022-05-21,Blues,Avalanche,0.5351025475994088,0,0.4648974524005912,1
2022,2022-05-20,Flames,Oilers,0.6129073932787831,0,0.3870926067212169,1
2022,2022-05-20,Hurricanes,Rangers,0.6357969951357701,1,0.36420300486422985,0
2022,2022-05-19,Avalanche,Blues,0.6620005874441657,0,0.3379994125558343,1
2022,2022-05-19,Panthers,Lightning,0.5852425541559702,0,0.41475744584402985,1
2022,2022-05-18,Flames,Oilers,0.6006674167162314,1,0.39933258328376864,0
2022,2022-05-18,Hurricanes,Rangers,0.6300827067909653,1,0.36991729320903466,0
2022,2022-05-17,Avalanche,Blues,0.6569260275970973,1,0.3430739724029027,0
2022,2022-05-17,Panthers,Lightning,0.60535316609472,0,0.39464683390528,1
2022,2022-05-15,Flames,Stars,0.6704883123376557,1,0.3295116876623443,0
2022,2022-05-15,Rangers,Penguins,0.6098008490334823,1,0.3901991509665177,0
2022,2022-05-14,Oilers,Kings,0.6769252790530154,1,0.32307472094698464,0
2022,2022-05-14,Maple Leafs,Lightning,0.586919248648396,0,0.41308075135160405,1
2022,2022-05-14,Hurricanes,Bruins,0.620954554448786,1,0.379045445551214,0
2022,2022-05-13,Stars,Flames,0.4882259743297472,1,0.5117740256702528,0
2022,2022-05-13,Capitals,Panthers,0.49621121110411626,0,0.5037887888958837,1
2022,2022-05-13,Penguins,Rangers,0.5839277969733271,0,0.4160722030266729,1
2022,2022-05-12,Kings,Oilers,0.5089450190864289,0,0.49105498091357114,1
2022,2022-05-12,Blues,Wild,0.5945957082016781,1,0.40540429179832194,0
2022,2022-05-12,Lightning,Maple Leafs,0.5842468307077842,1,0.41575316929221584,0
2022,2022-05-12,Bruins,Hurricanes,0.5413654155792131,1,0.45863458442078686,0
2022,2022-05-11,Flames,Stars,0.6755085825118081,1,0.3244914174881919,0
2022,2022-05-11,Panthers,Capitals,0.6682814578024927,1,0.3317185421975073,0
2022,2022-05-11,Rangers,Penguins,0.5832841105638602,1,0.4167158894361398,0
2022,2022-05-10,Oilers,Kings,0.6756472361879178,0,0.3243527638120822,1
2022,2022-05-10,Wild,Blues,0.6034169591943057,0,0.3965830408056943,1
2022,2022-05-10,Maple Leafs,Lightning,0.5869700894235768,1,0.41302991057642324,0
2022,2022-05-10,Hurricanes,Bruins,0.6223518309377389,1,0.37764816906226106,0
2022,2022-05-09,Predators,Avalanche,0.41158937269134205,0,0.588410627308658,1
2022,2022-05-09,Stars,Flames,0.5137351652774073,0,0.48626483472259274,1
2022,2022-05-09,Capitals,Panthers,0.513747482120503,0,0.48625251787949697,1
2022,2022-05-09,Penguins,Rangers,0.5785008446748269,1,0.4214991553251731,0
2022,2022-05-08,Kings,Oilers,0.4767303401123932,1,0.5232696598876068,0
2022,2022-05-08,Lightning,Maple Leafs,0.5759835846560692,1,0.42401641534393075,0
2022,2022-05-08,Blues,Wild,0.5603480812675126,1,0.43965191873248743,0
2022,2022-05-08,Bruins,Hurricanes,0.5398323748014006,1,0.46016762519859944,0
2022,2022-05-07,Stars,Flames,0.5000517163769079,1,0.49994828362309207,0
2022,2022-05-07,Penguins,Rangers,0.5646369629612348,1,0.4353630370387652,0
2022,2022-05-07,Predators,Avalanche,0.4267442858022333,0,0.5732557141977668,1
2022,2022-05-07,Capitals,Panthers,0.49312315864131817,1,0.5068768413586818,0
