season,date,team1,team2,dh,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-11-05,Astros,Phillies,0,0.5763733491837125,1,0.4236266508162875,0
2022,2022-11-03,Phillies,Astros,0,0.3952911321453004,0,0.6047088678546997,1
2022,2022-11-02,Phillies,Astros,0,0.49635266630484276,0,0.5036473336951572,1
2022,2022-11-01,Phillies,Astros,0,0.45588758707749166,1,0.5441124129225083,0
2022,2022-10-29,Astros,Phillies,0,0.5528802892620479,1,0.4471197107379521,0
2022,2022-10-28,Astros,Phillies,0,0.6250463872343959,0,0.3749536127656041,1
2022,2022-10-23,Yankees,Astros,0,0.5457391122813986,0,0.4542608877186014,1
2022,2022-10-23,Phillies,Padres,0,0.5801570454821551,1,0.4198429545178449,0
2022,2022-10-22,Phillies,Padres,0,0.5317818818200034,1,0.4682181181799966,0
2022,2022-10-22,Yankees,Astros,0,0.537260860615127,0,0.462739139384873,1
2022,2022-10-21,Phillies,Padres,0,0.49485628287824857,1,0.5051437171217514,0
2022,2022-10-20,Astros,Yankees,0,0.5478585846087035,1,0.4521414153912965,0
2022,2022-10-19,Astros,Yankees,0,0.6319589415897895,1,0.3680410584102105,0
2022,2022-10-19,Padres,Phillies,0,0.502494467668119,1,0.497505532331881,0
2022,2022-10-18,Padres,Phillies,0,0.5426868996873596,0,0.4573131003126404,1
2022,2022-10-18,Yankees,Guardians,0,0.6733933716450348,1,0.32660662835496523,0
2022,2022-10-16,Guardians,Yankees,0,0.4356514783713066,0,0.5643485216286934,1
2022,2022-10-15,Padres,Dodgers,0,0.42983940671732473,1,0.5701605932826752,0
2022,2022-10-15,Guardians,Yankees,0,0.5015782630050044,1,0.4984217369949956,0
2022,2022-10-15,Mariners,Astros,0,0.4530943956708314,0,0.5469056043291687,1
2022,2022-10-15,Phillies,Braves,0,0.4384657535846417,1,0.5615342464153583,0
2022,2022-10-14,Padres,Dodgers,0,0.40449537597784424,1,0.5955046240221558,0
2022,2022-10-14,Phillies,Braves,0,0.4683123877211798,1,0.5316876122788202,0
2022,2022-10-14,Yankees,Guardians,0,0.61282247620192,0,0.38717752379808,1
2022,2022-10-13,Astros,Mariners,0,0.5763840526028271,1,0.4236159473971729,0
2022,2022-10-12,Dodgers,Padres,0,0.6731900811675161,0,0.3268099188324839,1
2022,2022-10-12,Braves,Phillies,0,0.5554863905335032,1,0.44451360946649676,0
2022,2022-10-11,Dodgers,Padres,0,0.7354456592550939,1,0.26455434074490614,0
2022,2022-10-11,Yankees,Guardians,0,0.6560366182350148,1,0.3439633817649852,0
2022,2022-10-11,Astros,Mariners,0,0.6828407837416142,1,0.31715921625838583,0
2022,2022-10-11,Braves,Phillies,0,0.7015455593224038,0,0.2984544406775962,1
2022,2022-10-09,Mets,Padres,0,0.5806015170536613,0,0.41939848294633875,1
2022,2022-10-08,Cardinals,Phillies,0,0.5021315422674487,0,0.4978684577325513,1
2022,2022-10-08,Mets,Padres,0,0.6435253627101728,1,0.3564746372898272,0
2022,2022-10-08,Blue Jays,Mariners,0,0.5965900703149825,0,0.40340992968501754,1
2022,2022-10-08,Guardians,Rays,0,0.55155385597187,1,0.44844614402813,0
2022,2022-10-07,Mets,Padres,0,0.6274400010597082,0,0.3725599989402918,1
2022,2022-10-07,Blue Jays,Mariners,0,0.6155685241781312,0,0.38443147582186876,1
2022,2022-10-07,Cardinals,Phillies,0,0.5171548708554861,0,0.48284512914451394,1
2022,2022-10-07,Guardians,Rays,0,0.569808972635102,1,0.430191027364898,0
2022,2022-10-05,Dodgers,Rockies,0,0.762794200581552,1,0.237205799418448,0
2022,2022-10-05,Astros,Phillies,0,0.6197303214117874,1,0.3802696785882126,0
2022,2022-10-05,Brewers,Diamondbacks,0,0.6199267744125255,0,0.3800732255874745,1
2022,2022-10-05,Guardians,Royals,0,0.6349578205145919,1,0.36504217948540807,0
2022,2022-10-05,Mariners,Tigers,0,0.6152959136335666,1,0.3847040863664334,0
2022,2022-10-05,Marlins,Braves,0,0.3722094000781684,1,0.6277905999218316,0
2022,2022-10-05,Mets,Nationals,0,0.6588819652083938,1,0.3411180347916062,0
2022,2022-10-05,Padres,Giants,0,0.5155102887096158,0,0.4844897112903842,1
2022,2022-10-05,Red Sox,Rays,0,0.5588340528057937,1,0.4411659471942063,0
2022,2022-10-05,Reds,Cubs,0,0.4903866180998698,0,0.5096133819001303,1
