season,date,team1,team2,prob1,prob1_outcome,prob2,prob2_outcome
2022,2022-06-16,Celtics,Warriors,0.7396119514651845,0,0.26038804853481545,1
2022,2022-06-13,Warriors,Celtics,0.47486327858967675,1,0.5251367214103233,0
2022,2022-06-10,Celtics,Warriors,0.77070664138799,0,0.22929335861200995,1
2022,2022-06-08,Celtics,Warriors,0.7524514460286256,1,0.24754855397137443,0
2022,2022-06-05,Warriors,Celtics,0.42716470119799416,1,0.5728352988020058,0
2022,2022-06-02,Warriors,Celtics,0.47515185031395374,0,0.5248481496860462,1
2022,2022-05-29,Heat,Celtics,0.495445437776089,0,0.5045545622239109,1
2022,2022-05-27,Celtics,Heat,0.7698596990580204,0,0.23014030094197957,1
2022,2022-05-26,Warriors,Mavericks,0.5984881151955487,1,0.4015118848044513,0
2022,2022-05-25,Heat,Celtics,0.48548723574271185,0,0.5145127642572882,1
2022,2022-05-24,Mavericks,Warriors,0.659122444936586,1,0.340877555063414,0
2022,2022-05-23,Celtics,Heat,0.7003597370033845,1,0.2996402629966155,0
2022,2022-05-22,Mavericks,Warriors,0.64749296608346,0,0.35250703391654004,1
2022,2022-05-21,Celtics,Heat,0.7535003525501258,0,0.24649964744987418,1
2022,2022-05-20,Warriors,Mavericks,0.6105245483077356,1,0.3894754516922644,0
2022,2022-05-19,Heat,Celtics,0.5293214486306159,0,0.4706785513693841,1
2022,2022-05-18,Warriors,Mavericks,0.5926514951550007,1,0.4073485048449993,0
2022,2022-05-17,Heat,Celtics,0.5840077247600661,1,0.4159922752399339,0
2022,2022-05-15,Suns,Mavericks,0.6914883952002189,0,0.3085116047997811,1
2022,2022-05-15,Celtics,Bucks,0.7327422526228393,1,0.2672577473771607,0
2022,2022-05-13,Warriors,Grizzlies,0.5933951254782678,1,0.4066048745217322,0
2022,2022-05-13,Bucks,Celtics,0.5828945556131242,0,0.4171054443868758,1
2022,2022-05-12,Mavericks,Suns,0.5217950136621929,1,0.47820498633780706,0
2022,2022-05-12,76ers,Heat,0.6955038745439119,0,0.30449612545608806,1
2022,2022-05-11,Grizzlies,Warriors,0.5738910565596952,1,0.4261089434403048,0
2022,2022-05-11,Celtics,Bucks,0.7010890710591876,0,0.2989109289408124,1
2022,2022-05-10,Suns,Mavericks,0.7132611591375168,1,0.28673884086248325,0
2022,2022-05-10,Heat,76ers,0.5221440007628135,1,0.47785599923718647,0
2022,2022-05-09,Warriors,Grizzlies,0.6825850738083217,1,0.3174149261916783,0
2022,2022-05-09,Bucks,Celtics,0.5899890280288517,0,0.41001097197114833,1
2022,2022-05-08,76ers,Heat,0.6429065799387035,1,0.3570934200612965,0
2022,2022-05-08,Mavericks,Suns,0.5099168876739237,1,0.49008311232607626,0
2022,2022-05-07,Warriors,Grizzlies,0.593039688425117,1,0.406960311574883,0
2022,2022-05-07,Bucks,Celtics,0.5438288796554851,1,0.4561711203445149,0
2022,2022-05-06,Mavericks,Suns,0.4697161708786917,1,0.5302838291213083,0
2022,2022-05-06,76ers,Heat,0.607530757168464,1,0.39246924283153595,0
2022,2022-05-04,Suns,Mavericks,0.7541549612159609,1,0.24584503878403907,0
2022,2022-05-04,Heat,76ers,0.655546292750727,1,0.34445370724927304,0
2022,2022-05-03,Grizzlies,Warriors,0.6106780709421742,1,0.3893219290578258,0
2022,2022-05-03,Celtics,Bucks,0.6899957097133919,1,0.31000429028660814,0
2022,2022-05-02,Suns,Mavericks,0.7514440816105716,1,0.24855591838942837,0
2022,2022-05-02,Heat,76ers,0.6268097429940196,1,0.3731902570059804,0
2022,2022-05-01,Grizzlies,Warriors,0.622035586814595,0,0.37796441318540497,1
2022,2022-05-01,Celtics,Bucks,0.7351673349180871,0,0.26483266508191294,1
2022,2022-04-29,Timberwolves,Grizzlies,0.5354473376268241,0,0.46455266237317594,1
2022,2022-04-28,Jazz,Mavericks,0.6386191497563828,0,0.3613808502436172,1
2022,2022-04-28,Pelicans,Suns,0.4245484262981731,0,0.5754515737018269,1
2022,2022-04-28,Raptors,76ers,0.506344527950619,0,0.493655472049381,1
2022,2022-04-27,Warriors,Nuggets,0.7579039124587713,1,0.2420960875412287,0
2022,2022-04-27,Bucks,Bulls,0.9177591634546447,1,0.0822408365453553,0
2022,2022-04-26,Suns,Pelicans,0.7672230861018503,1,0.2327769138981497,0
2022,2022-04-26,Grizzlies,Timberwolves,0.7103674852476923,1,0.28963251475230767,0
2022,2022-04-26,Heat,Hawks,0.5806701453042423,1,0.4193298546957577,0
2022,2022-04-25,Mavericks,Jazz,0.6141545922947061,1,0.38584540770529385,0
2022,2022-04-25,76ers,Raptors,0.8271928981910113,0,0.17280710180898873,1
2022,2022-04-25,Nets,Celtics,0.43719615069830703,0,0.5628038493016929,1
2022,2022-04-24,Pelicans,Suns,0.47095340829138393,1,0.529046591708616,0
2022,2022-04-24,Hawks,Heat,0.6550276152942557,0,0.3449723847057443,1
2022,2022-04-24,Nuggets,Warriors,0.5383291675043479,1,0.4616708324956521,0
2022,2022-04-24,Bulls,Bucks,0.36265540118457357,0,0.6373445988154265,1
2022,2022-04-23,Timberwolves,Grizzlies,0.5547823148351754,1,0.44521768516482463,0
2022,2022-04-23,Nets,Celtics,0.405308412404037,0,0.5946915875959631,1
2022,2022-04-23,Jazz,Mavericks,0.7195600931391272,1,0.28043990686087283,0
2022,2022-04-23,Raptors,76ers,0.5017292933344984,1,0.49827070666550155,0
2022,2022-04-22,Pelicans,Suns,0.4800486052126727,0,0.5199513947873273,1
2022,2022-04-22,Bulls,Bucks,0.3760294027144602,0,0.6239705972855398,1
2022,2022-04-22,Hawks,Heat,0.5798790721840542,1,0.4201209278159458,0
2022,2022-04-21,Nuggets,Warriors,0.5441974976183634,0,0.45580250238163655,1
2022,2022-04-21,Jazz,Mavericks,0.8115598032888026,0,0.18844019671119738,1
2022,2022-04-21,Timberwolves,Grizzlies,0.5577210822279868,0,0.4422789177720132,1
2022,2022-04-20,Bucks,Bulls,0.8623691266778226,0,0.13763087332217738,1
2022,2022-04-20,Raptors,76ers,0.5139233323696635,0,0.4860766676303365,1
2022,2022-04-20,Celtics,Nets,0.7970756723505344,1,0.20292432764946555,0
2022,2022-04-19,Suns,Pelicans,0.8288770147888579,0,0.1711229852111421,1
2022,2022-04-19,Grizzlies,Timberwolves,0.7005470832361412,1,0.29945291676385877,0
2022,2022-04-19,Heat,Hawks,0.7240400319800339,1,0.27595996801996614,0
2022,2022-04-18,Warriors,Nuggets,0.7557431855868152,1,0.2442568144131848,0
2022,2022-04-18,Mavericks,Jazz,0.4940359147676201,1,0.5059640852323799,0
2022,2022-04-18,76ers,Raptors,0.757031195001479,1,0.24296880499852103,0
2022,2022-04-17,Suns,Pelicans,0.831934734640999,1,0.16806526535900101,0
2022,2022-04-17,Bucks,Bulls,0.8656353092625096,1,0.13436469073749036,0
2022,2022-04-17,Celtics,Nets,0.7888910163816424,1,0.21110898361835762,0
2022,2022-04-17,Heat,Hawks,0.7422325916293482,1,0.2577674083706518,0
2022,2022-04-16,Warriors,Nuggets,0.7268593292749962,1,0.2731406707250038,0
2022,2022-04-16,76ers,Raptors,0.7363086932990903,1,0.2636913067009097,0
2022,2022-04-16,Grizzlies,Timberwolves,0.6177577559477914,0,0.38224224405220864,1
2022,2022-04-16,Mavericks,Jazz,0.4777311508492284,0,0.5222688491507717,1
2022,2022-04-15,Clippers,Pelicans,0.6400600263419894,0,0.35993997365801056,1
2022,2022-04-15,Cavaliers,Hawks,0.506774747506126,0,0.49322525249387394,1
2022,2022-04-13,Pelicans,Spurs,0.6330634305878573,1,0.3669365694121427,0
2022,2022-04-13,Hawks,Hornets,0.7281927570556794,1,0.27180724294432057,0
2022,2022-04-12,Timberwolves,Clippers,0.6345810332072829,1,0.3654189667927171,0
2022,2022-04-12,Nets,Cavaliers,0.7082101885918195,1,0.2917898114081805,0
2022,2022-04-10,Mavericks,Spurs,0.8536251996457744,1,0.14637480035422556,0
2022,2022-04-10,Nuggets,Lakers,0.9208151882605105,0,0.07918481173948955,1
2022,2022-04-10,Clippers,Thunder,0.8746733152935897,1,0.12532668470641029,0
2022,2022-04-10,Pelicans,Warriors,0.5957457683501076,0,0.4042542316498924,1
2022,2022-04-10,Suns,Kings,0.7203475395379502,0,0.27965246046204983,1
2022,2022-04-10,Trail Blazers,Jazz,0.04409722476267078,0,0.9559027752373292,1
2022,2022-04-10,Timberwolves,Bulls,0.8796413951934553,0,0.1203586048065447,1
2022,2022-04-10,Grizzlies,Celtics,0.31725239126493615,0,0.6827476087350639,1
2022,2022-04-10,Knicks,Raptors,0.5145819005332815,1,0.48541809946671854,0
2022,2022-04-10,Magic,Heat,0.23081354251433012,1,0.7691864574856699,0
2022,2022-04-10,76ers,Pistons,0.8696217643912441,1,0.13037823560875594,0
2022,2022-04-10,Nets,Pacers,0.8834283461005232,1,0.11657165389947677,0
2022,2022-04-10,Hornets,Wizards,0.8037157692826925,1,0.1962842307173075,0
2022,2022-04-10,Cavaliers,Bucks,0.361702570447176,1,0.638297429552824,0
2022,2022-04-10,Rockets,Hawks,0.2433835846593328,0,0.7566164153406671,1
2022,2022-04-09,Clippers,Kings,0.8340157529174294,1,0.16598424708257065,0
2022,2022-04-09,Spurs,Warriors,0.1813507537775941,0,0.8186492462224059,1
2022,2022-04-09,Grizzlies,Pelicans,0.7397170006477928,1,0.2602829993522072,0
2022,2022-04-09,76ers,Pacers,0.8905374485561517,1,0.10946255144384831,0
2022,2022-04-08,Lakers,Thunder,0.5974450209696427,1,0.4025549790303573,0
2022,2022-04-08,Jazz,Suns,0.601135802368839,0,0.398864197631161,1
2022,2022-04-08,Mavericks,Trail Blazers,0.9815401230456273,1,0.018459876954372678,0
2022,2022-04-08,Heat,Hawks,0.6996700737987798,1,0.30032992620122023,0
2022,2022-04-08,Bulls,Hornets,0.6549411025234881,0,0.34505889747651186,1
2022,2022-04-08,Nets,Cavaliers,0.7899368858559384,1,0.21006311414406165,0
2022,2022-04-08,Raptors,Rockets,0.8122447717418529,1,0.18775522825814706,0
2022,2022-04-08,Pistons,Bucks,0.24638859302740007,0,0.7536114069725999,1
2022,2022-04-08,Wizards,Knicks,0.5815411619827615,0,0.4184588380172385,1
